Nombre,Y,Recepciones,Targets,Yardas Recibidas,Promedio,TD,LARGO,Grandes jugadas,Yardas por juego,Fumbles,Fumbles recuperados,Yardas despues de recepcion,Recepcion de primer down
George Kittle TE,2019,41,53,584,14.2,1,61,9,0.0,0,0,327,31
Deebo Samuel Sr. WR,2019,22,32,363,16.5,0,39,10,0.0,0,0,210,15
Emmanuel Sanders WR,2019,18,25,339,18.8,1,75,5,0.0,0,0,83,13
Kendrick Bourne WR,2019,10,17,144,14.4,0,30,2,0.0,0,0,65,7
Kyle Juszczyk FB,2019,10,12,141,14.1,0,49,3,0.0,0,0,63,4
Richie James WR,2019,3,3,113,37.7,0,57,2,0.0,0,0,91,3
Marquise Goodwin WR,2019,5,10,85,17.0,0,25,2,0.0,0,0,18,4
Tevin Coleman RB,2019,9,9,66,7.3,0,31,1,0.0,0,0,79,3
Matt Breida RB,2019,8,10,48,6.0,0,12,0,0.0,0,0,61,2
Raheem Mostert RB,2019,4,4,48,12.0,0,22,1,0.0,0,0,42,2
Ross Dwelley TE,2019,4,8,17,4.3,0,9,0,0.0,0,0,8,1
Jeff Wilson Jr. RB,2019,2,2,9,4.5,0,7,0,0.0,0,0,1,0
Levine Toilolo TE,2019,1,1,8,8.0,0,8,0,0.0,0,0,13,0
Dante Pettis WR,2019,1,6,5,5.0,0,5,0,0.0,0,0,1,1
Brandon Aiyuk WR,2020,30,47,424,14.1,0,49,5,0.0,0,0,177,20
Kendrick Bourne WR,2020,24,35,362,15.1,0,27,3,0.0,0,0,112,21
Richie James WR,2020,15,24,259,17.3,0,47,4,0.0,0,0,128,11
George Kittle TE,2020,22,30,255,11.6,0,38,5,0.0,0,0,113,14
Deebo Samuel Sr. WR,2020,18,26,227,12.6,0,35,6,0.0,0,0,246,10
Raheem Mostert RB,2020,10,12,133,13.3,1,76,1,0.0,0,0,111,3
Jerick McKinnon RB,2020,17,24,118,6.9,0,14,0,0.0,0,0,107,5
Ross Dwelley TE,2020,9,11,110,12.2,0,20,1,0.0,0,0,40,5
Kyle Juszczyk FB,2020,6,8,103,17.2,0,41,2,0.0,0,0,44,3
Jordan Reed TE,2020,12,21,103,8.6,0,26,1,0.0,0,0,35,5
River Cracraft WR,2020,4,5,30,7.5,0,12,0,0.0,0,0,11,1
JaMycal Hasty RB,2020,5,5,30,6.0,0,16,0,0.0,0,0,45,0
Austin Walter RB,2020,1,1,27,27.0,0,27,1,0.0,0,0,33,1
Tevin Coleman RB,2020,1,2,18,18.0,0,18,0,0.0,0,0,1,1
Charlie Woerner TE,2020,2,3,18,9.0,0,15,0,0.0,0,0,10,1
Trent Taylor WR,2020,3,6,15,5.0,0,20,1,0.0,0,0,21,1
Jeff Wilson Jr. RB,2020,1,8,5,5.0,0,5,0,0.0,0,0,0,1
Deebo Samuel Sr. WR,2021,46,63,956,20.8,2,79,16,0.0,0,0,499,33
Brandon Aiyuk WR,2021,28,41,420,15.0,0,43,9,0.0,0,0,190,15
George Kittle TE,2021,24,33,259,10.8,0,39,2,0.0,0,0,140,10
Jauan Jennings WR,2021,14,20,177,12.6,0,34,3,0.0,0,0,66,7
Kyle Juszczyk FB,2021,18,20,163,9.1,0,26,1,0.0,0,0,106,10
JaMycal Hasty RB,2021,11,14,91,8.3,0,15,0,0.0,0,0,78,5
Elijah Mitchell RB,2021,12,12,90,7.5,0,14,0,0.0,0,0,113,5
Mohamed Sanu WR,2021,4,8,65,16.3,0,21,1,0.0,0,0,17,4
Trent Sherfield Sr. WR,2021,4,9,39,9.8,0,12,0,0.0,0,0,9,3
Ross Dwelley TE,2021,3,4,30,10.0,0,13,0,0.0,0,0,5,1
Jeff Wilson Jr. RB,2021,4,4,28,7.0,0,11,0,0.0,0,0,28,1
Trey Sermon RB,2021,2,2,26,13.0,0,23,1,0.0,0,0,14,1
Charlie Woerner TE,2021,2,2,14,7.0,0,11,0,0.0,0,0,4,1
Brandon Aiyuk WR,2022,37,55,517,14.0,0,54,9,0.0,0,0,200,23
Deebo Samuel Sr. WR,2022,29,46,384,13.2,1,57,3,0.0,0,0,304,15
George Kittle TE,2022,27,36,310,11.5,1,54,5,0.0,0,0,154,14
Christian McCaffrey RB,2022,23,30,240,10.4,0,38,3,0.0,0,0,218,12
Jauan Jennings WR,2022,19,25,239,12.6,0,44,2,0.0,0,0,87,12
Ray-Ray McCloud III WR,2022,9,17,168,18.7,0,42,3,0.0,0,0,89,7
Kyle Juszczyk FB,2022,10,12,128,12.8,0,35,2,0.0,0,0,98,5
Ross Dwelley TE,2022,2,4,67,33.5,0,56,1,0.0,0,0,21,2
Tyler Kroft TE,2022,3,3,51,17.0,0,28,1,0.0,0,0,14,2
Jeff Wilson Jr. RB,2022,5,6,36,7.2,0,12,0,0.0,0,0,21,1
Tevin Coleman RB,2022,2,2,35,17.5,0,30,1,0.0,0,0,6,1
Brandon Aiyuk WR,2023,36,49,800,22.2,1,76,20,0.0,0,0,277,31
George Kittle TE,2023,34,45,523,15.4,1,66,9,0.0,0,0,240,22
Deebo Samuel Sr. WR,2023,29,41,515,17.8,1,54,10,0.0,0,0,279,20
Christian McCaffrey RB,2023,20,24,168,8.4,0,17,0,0.0,0,0,120,7
Jauan Jennings WR,2023,7,11,113,16.1,0,31,2,0.0,0,0,37,4
Ray-Ray McCloud III WR,2023,6,8,91,15.2,0,41,2,0.0,0,0,64,3
Chris Conley WR,2023,3,5,69,23.0,0,48,1,0.0,0,0,28,2
Kyle Juszczyk FB,2023,6,6,43,7.2,0,9,0,0.0,0,0,14,2
Charlie Woerner TE,2023,2,2,29,14.5,0,20,1,0.0,0,0,16,1
Ronnie Bell WR,2023,1,4,20,20.0,0,20,1,0.0,0,0,0,1
Jordan Mason RB,2023,2,3,19,9.5,0,13,0,0.0,0,0,15,1
Elijah Mitchell RB,2023,2,2,17,8.5,0,9,0,0.0,0,0,13,1
George Kittle TE,2024,32,39,540,16.9,0,41,12,0.0,0,0,252,19
Jauan Jennings WR,2024,37,48,512,13.8,0,45,8,0.0,0,0,126,21
Deebo Samuel Sr. WR,2024,24,34,399,16.6,1,76,7,0.0,0,0,257,13
Brandon Aiyuk WR,2024,13,22,229,17.6,0,53,4,0.0,0,0,62,10
Ricky Pearsall WR,2024,13,18,204,15.7,0,39,3,0.0,0,0,39,10
Christian McCaffrey RB,2024,7,7,98,14.0,0,30,2,0.0,0,0,76,4
Isaac Guerendo RB,2024,9,9,66,7.3,0,23,1,0.0,0,0,72,4
Jacob Cowing WR,2024,2,2,57,28.5,0,41,1,0.0,0,0,12,2
Kyle Juszczyk FB,2024,7,13,45,6.4,0,14,0,0.0,0,0,14,2
Jordan Mason RB,2024,5,6,33,6.6,0,9,0,0.0,0,0,1,2
Chris Conley WR,2024,4,5,32,8.0,0,13,0,0.0,0,0,11,1
Eric Saubert TE,2024,2,2,28,14.0,0,20,1,0.0,0,0,-12,0
Patrick Taylor Jr. RB,2024,3,4,25,8.3,0,12,0,0.0,0,0,19,2
Ronnie Bell WR,2024,1,3,12,12.0,0,12,0,0.0,0,0,-3,1
Trent Taylor WR,2024,1,1,11,11.0,0,11,0,0.0,0,0,2,0
Jake Brendel C,2024,0,0,2,0.0,0,2,0,0.0,0,0,-13,0
Dominick Puni G,2024,0,0,-3,0.0,0,-3,0,0.0,0,0,-18,0