Nombre,Posicion,A̱o,Recepciones,Targets,Porcentaje de recepciones,Yardas Recibidas,Promedio,TD,LARGO,Grandes jugadas,Yardas despues de recepcion,Recepcion de primer down
George Kittle,TE,2019,41,53,77.36,584,14.2,1,61,9,327,31
Deebo Samuel Sr.,WR,2019,22,32,68.75,363,16.5,0,39,10,210,15
Emmanuel Sanders,WR,2019,18,25,72.0,339,18.8,1,75,5,83,13
Kendrick Bourne,WR,2019,10,17,58.82,144,14.4,0,30,2,65,7
Kyle Juszczyk,FB,2019,10,12,83.33,141,14.1,0,49,3,63,4
Richie James,WR,2019,3,3,100.0,113,37.7,0,57,2,91,3
Marquise Goodwin,WR,2019,5,10,50.0,85,17.0,0,25,2,18,4
Tevin Coleman,RB,2019,9,9,100.0,66,7.3,0,31,1,79,3
Matt Breida,RB,2019,8,10,80.0,48,6.0,0,12,0,61,2
Raheem Mostert,RB,2019,4,4,100.0,48,12.0,0,22,1,42,2
Ross Dwelley,TE,2019,4,8,50.0,17,4.3,0,9,0,8,1
Jeff Wilson Jr.,RB,2019,2,2,100.0,9,4.5,0,7,0,1,0
Levine Toilolo,TE,2019,1,1,100.0,8,8.0,0,8,0,13,0
Dante Pettis,WR,2019,1,6,16.67,5,5.0,0,5,0,1,1
Brandon Aiyuk,WR,2020,30,47,63.83,424,14.1,0,49,5,177,20
Kendrick Bourne,WR,2020,24,35,68.57,362,15.1,0,27,3,112,21
Richie James,WR,2020,15,24,62.5,259,17.3,0,47,4,128,11
George Kittle,TE,2020,22,30,73.33,255,11.6,0,38,5,113,14
Deebo Samuel Sr.,WR,2020,18,26,69.23,227,12.6,0,35,6,246,10
Raheem Mostert,RB,2020,10,12,83.33,133,13.3,1,76,1,111,3
Jerick McKinnon,RB,2020,17,24,70.83,118,6.9,0,14,0,107,5
Ross Dwelley,TE,2020,9,11,81.82,110,12.2,0,20,1,40,5
Kyle Juszczyk,FB,2020,6,8,75.0,103,17.2,0,41,2,44,3
Jordan Reed,TE,2020,12,21,57.14,103,8.6,0,26,1,35,5
River Cracraft,WR,2020,4,5,80.0,30,7.5,0,12,0,11,1
JaMycal Hasty,RB,2020,5,5,100.0,30,6.0,0,16,0,45,0
Austin Walter,RB,2020,1,1,100.0,27,27.0,0,27,1,33,1
Tevin Coleman,RB,2020,1,2,50.0,18,18.0,0,18,0,1,1
Charlie Woerner,TE,2020,2,3,66.67,18,9.0,0,15,0,10,1
Trent Taylor,WR,2020,3,6,50.0,15,5.0,0,20,1,21,1
Jeff Wilson Jr.,RB,2020,1,8,12.5,5,5.0,0,5,0,0,1
Deebo Samuel Sr.,WR,2021,46,63,73.02,956,20.8,2,79,16,499,33
Brandon Aiyuk,WR,2021,28,41,68.29,420,15.0,0,43,9,190,15
George Kittle,TE,2021,24,33,72.73,259,10.8,0,39,2,140,10
Jauan Jennings,WR,2021,14,20,70.0,177,12.6,0,34,3,66,7
Kyle Juszczyk,FB,2021,18,20,90.0,163,9.1,0,26,1,106,10
JaMycal Hasty,RB,2021,11,14,78.57,91,8.3,0,15,0,78,5
Elijah Mitchell,RB,2021,12,12,100.0,90,7.5,0,14,0,113,5
Mohamed Sanu,WR,2021,4,8,50.0,65,16.3,0,21,1,17,4
Trent Sherfield Sr.,WR,2021,4,9,44.44,39,9.8,0,12,0,9,3
Ross Dwelley,TE,2021,3,4,75.0,30,10.0,0,13,0,5,1
Jeff Wilson Jr.,RB,2021,4,4,100.0,28,7.0,0,11,0,28,1
Trey Sermon,RB,2021,2,2,100.0,26,13.0,0,23,1,14,1
Charlie Woerner,TE,2021,2,2,100.0,14,7.0,0,11,0,4,1
Brandon Aiyuk,WR,2022,37,55,67.27,517,14.0,0,54,9,200,23
Deebo Samuel Sr.,WR,2022,29,46,63.04,384,13.2,1,57,3,304,15
George Kittle,TE,2022,27,36,75.0,310,11.5,1,54,5,154,14
Christian McCaffrey,RB,2022,23,30,76.67,240,10.4,0,38,3,218,12
Jauan Jennings,WR,2022,19,25,76.0,239,12.6,0,44,2,87,12
Ray-Ray McCloud III,WR,2022,9,17,52.94,168,18.7,0,42,3,89,7
Kyle Juszczyk,FB,2022,10,12,83.33,128,12.8,0,35,2,98,5
Ross Dwelley,TE,2022,2,4,50.0,67,33.5,0,56,1,21,2
Tyler Kroft,TE,2022,3,3,100.0,51,17.0,0,28,1,14,2
Jeff Wilson Jr.,RB,2022,5,6,83.33,36,7.2,0,12,0,21,1
Tevin Coleman,RB,2022,2,2,100.0,35,17.5,0,30,1,6,1
Brandon Aiyuk,WR,2023,36,49,73.47,800,22.2,1,76,20,277,31
George Kittle,TE,2023,34,45,75.56,523,15.4,1,66,9,240,22
Deebo Samuel Sr.,WR,2023,29,41,70.73,515,17.8,1,54,10,279,20
Christian McCaffrey,RB,2023,20,24,83.33,168,8.4,0,17,0,120,7
Jauan Jennings,WR,2023,7,11,63.64,113,16.1,0,31,2,37,4
Ray-Ray McCloud III,WR,2023,6,8,75.0,91,15.2,0,41,2,64,3
Chris Conley,WR,2023,3,5,60.0,69,23.0,0,48,1,28,2
Kyle Juszczyk,FB,2023,6,6,100.0,43,7.2,0,9,0,14,2
Charlie Woerner,TE,2023,2,2,100.0,29,14.5,0,20,1,16,1
Ronnie Bell,WR,2023,1,4,25.0,20,20.0,0,20,1,0,1
Jordan Mason,RB,2023,2,3,66.67,19,9.5,0,13,0,15,1
Elijah Mitchell,RB,2023,2,2,100.0,17,8.5,0,9,0,13,1
George Kittle,TE,2024,32,39,82.05,540,16.9,0,41,12,252,19
Jauan Jennings,WR,2024,37,48,77.08,512,13.8,0,45,8,126,21
Deebo Samuel Sr.,WR,2024,24,34,70.59,399,16.6,1,76,7,257,13
Brandon Aiyuk,WR,2024,13,22,59.09,229,17.6,0,53,4,62,10
Ricky Pearsall,WR,2024,13,18,72.22,204,15.7,0,39,3,39,10
Christian McCaffrey,RB,2024,7,7,100.0,98,14.0,0,30,2,76,4
Isaac Guerendo,RB,2024,9,9,100.0,66,7.3,0,23,1,72,4
Jacob Cowing,WR,2024,2,2,100.0,57,28.5,0,41,1,12,2
Kyle Juszczyk,FB,2024,7,13,53.85,45,6.4,0,14,0,14,2
Jordan Mason,RB,2024,5,6,83.33,33,6.6,0,9,0,1,2
Chris Conley,WR,2024,4,5,80.0,32,8.0,0,13,0,11,1
Eric Saubert,TE,2024,2,2,100.0,28,14.0,0,20,1,-12,0
Patrick Taylor Jr.,RB,2024,3,4,75.0,25,8.3,0,12,0,19,2
Ronnie Bell,WR,2024,1,3,33.33,12,12.0,0,12,0,-3,1
Trent Taylor,WR,2024,1,1,100.0,11,11.0,0,11,0,2,0
